product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
7273050964045,"Arata Hair Growth Serum for Men and Women | For Fuller, Denser, Thicker Hair Growth | Free Derma Roller",intensive-hair-growth-serum-derma-roller-free,Arata,Serum,"badge_Price Drop, Best Sellers, combo, combos, DEAL, GROWTH40, hair, hair serum, intensive, LIVE, minoxidil, PAYDAY, serum, shark, Shark Tank, ship@0, single",41749973336141,Default Title,AHGSKIT01,649.00,649.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/IHGS_FREE_Derma_Roller.png?v=1764841051, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/4_e5561d5b-3808-4f19-a48d-4925cc5b8ba9.png?v=1764841051, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/5_cb24b36b-00d7-4dc3-a259-72bb3ad6574b.jpg?v=1764841051, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6_24cf3424-8308-4724-95cb-988b2e1c4c45.jpg?v=1764841051, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/7_aa6be74a-c5b9-4e48-a9f9-b5a2782c9db5.jpg?v=1764841051, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/8_b2a84c96-d335-4dfa-9640-b3855d87722b.jpg?v=1764841051, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/10.png?v=1764841051, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/11_024651bc-6ecc-42bb-a4d9-eb8ea6842ef3.png?v=1764841051",daily,summers,Tan,Adults (18-45),Generic brand story.
4848785555533,"Biotin & Protein Rich  Super Shampoo™ for Daily Nourishment, Damage & Frizz Control - 300ml",best-organic-shampoo-for-hair-loss-and-hair-growth,Arata,,"Best Organic Shampoo, best shampoo, combo, combos, damage repair, DEAL, DEAL35, FLASH379, FLAT45, GST, hair, hair fall control, hair growth, hair-fall, has_stock_countdown, LIVE, natural shampoo for me, NTE, organic shampoo for hair regrowth, PAYDAY, shampoo, shampoo for hair regrowth, single, vegan shampoo, wash",33122833858637,Default Title,ANSH05,899.00,899.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Super_Shampoo_c164875a-c7e0-4f6d-92b6-85380283540a.png?v=1764841699, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/FlashSales-Aman_1.png?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-516.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-128.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-551.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-954.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-161.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-294.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-168.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-242.webp?v=1769510212, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-925.webp?v=1769510212",daily,summers,Red,Adults (18-45),Generic brand story.
7538603229261,Arata Anti-Dandruff Shampoo with Conditioner | Piroctone Olamine and Neem | Up To 100% Dandruff Reduction,arata-anti-dandruff-shampoo-with-conditioner,Arata,,"AD Range, anti, anti-dandruff, badge_Bestseller, Best Sellers, bundle-product, combo, combos, DEAL, DEAL35, hair, has_stock_countdown, LIVE, PAYDAY, shampoo, shark, st_hide, wash",42001526685773,Default Title,ANTSASC,549.00,549.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/AD_Shampoo_FREE_Conditioner.png?v=1764840113, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-normal-to-oily-hair-200ml-scalp-massager-839_255d071d-d19b-4186-a8cc-039b4d43519d.webp?v=1764840113, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-normal-to-oily-hair-200ml-scalp-massager-343_2ba0b736-0f0f-499f-9558-d51345bdde2a.webp?v=1764840113, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-normal-to-oily-hair-200ml-scalp-massager-990_3f5d9a01-e62d-46af-a949-41f09f2007bc.webp?v=1764840113, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-normal-to-oily-hair-200ml-scalp-massager-952_fadb40e6-6f8c-423e-b881-3d10bd110cae.webp?v=1764840113, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-normal-to-oily-hair-200ml-scalp-massager-655_c0447e5c-1dd0-44d1-99fe-999802a7d86e.webp?v=1764840113, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-normal-to-oily-hair-200ml-scalp-massager-618_67088994-29cd-4192-8d77-06d3ef7266ad.webp?v=1764840113, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-normal-to-oily-hair-200ml-scalp-massager-581_b229636c-e5de-48e4-a1c9-7590e2ae1280.webp?v=1764840113",daily,summers,Red,Adults (18-45),Generic brand story.
7488799244365,"MelanoBoostª Anti-Grey Hair & Beard Serum with MelanoGrayª, Silverfreeª, Arcolys¨ & Vegan Keratin - 30ml",melanoboost-anti-grey-hair-beard-serum-with-melanogray-silverfree-arcolys-vegan-keratin-30ml,Arata,hair,"badge_Bestseller, best hair serum, Best Sellers, best women hair serum, combo, combos, curly hair, DEAL35, dry hair, FLASH379, hair, hair beauty, hair beauty serum, hair care, hair care serum, hair serum, hair spray, label:new, light hair serum, LIVE, new hair serum, oily hair, PAYDAY, serum, shark, single, Transform",41799667908685,Default Title,AAGHS,599.00,599.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-815.webp?v=1751437207, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-175.webp?v=1751437214, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-877.webp?v=1751437218, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-149.webp?v=1751437222, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-143.webp?v=1751437227, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-909.webp?v=1751437230, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-502.webp?v=1751437234, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-949.webp?v=1751437239, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-565.webp?v=1751437243, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-266.webp?v=1751437247, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/melanoboost-anti-grey-hair-beard-serum-with-melanogray-471.webp?v=1751437251",daily,summers,"Grey, Silver",Adults (18-45),Generic brand story.
7585137918029,"Multi-Active Anti-Hair Fall Shampoo for Hair Thinning & Hair Fall Reduction | Powered by Hairdian AP, Caffeine, Biotin, and Rosemary",anti-hair-fall-shampoo,Arata,,"badge_Just Arrived, combo, combos, FLASH379, LIVE, shampoo, shark, Shark Tank",42163256033357,Default Title,AAHS01,399.00,399.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Primary_Antihairfall_Shampoo.webp?v=1762247837, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Shampoo_2_c810a4f3-0596-4263-a975-f4d35c54f626.webp?v=1762247855, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Shampoo_3_80e7d307-4d3e-4cc8-93ee-4f1ede50ad9b.webp?v=1762247855, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Shampoo_4_983fc62f-0225-40e3-a0d1-146d57a18705.webp?v=1762247855, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Shampoo_5_9b3c24fb-1ec0-4bcd-b7eb-b0a34630cc68.webp?v=1762247854, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Shampoo_6_5f326d60-3876-4d71-88f0-336b148236d1.webp?v=1762247855, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Shampoo_7_fffd8a7c-75e9-45a1-aa4c-ac88fd466dbf.webp?v=1762247855",daily,summers,"Multicolor (Red, Tan)",Adults (18-45),Generic brand story.
7446848733261,"Arata Anti-Dandruff Shampoo, Tonic, Free Conditioner Combo | Piroctone Olamine & Glycolic Acid | Up To 100% Dandruff Reduction | Hydrates | 200+200+100ml",anti-dandruff-shampoo-and-serum-for-intense-dandruff-reduction-with-piroctone-olamine-glycolic-acid-for-anti-fungal-action-anti-dandruff-conditioner,Arata,,"AD Range, anti, anti-dandruff, badge_Price Drop, Best Sellers, bundle-product, combo, combos, dandruff, DEAL, DEAL35, hair, LIVE, PAYDAY, shampoo, wash",41650417729613,Default Title,ARTADC1,1048.00,1048.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/AD_Shampoo_Tonic_FREE_Conditioner.png?v=1764840283, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-and-tonic-for-intense-dandruff-reduction-251.webp?v=1764840283, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-and-tonic-for-intense-dandruff-reduction-567.webp?v=1764840283, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-and-tonic-for-intense-dandruff-reduction-181.webp?v=1764840283, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-and-tonic-for-intense-dandruff-reduction-323.webp?v=1764840283, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-and-tonic-for-intense-dandruff-reduction-840.webp?v=1764840283, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-and-tonic-for-intense-dandruff-reduction-340.webp?v=1764840283, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/anti-dandruff-shampoo-and-tonic-for-intense-dandruff-reduction-882.webp?v=1764840283",daily,summers,Red,Adults (18-45),Generic brand story.
6889392930893,Hair Fall Defense Onion Shampoo for Root Strengthening- 200ml | Free Onion Conditioner- 200ml,arata-hair-fall-defense-onion-combo-400ml,Arata,Combo,"badge_Bestseller, combo, combos, conditioner, DEAL35, FLAT45, hair, Hair Conditioner, LIVE, Onion range, PAYDAY, Republic, shampoo",40127974015053,Default Title,ANCB97,549.00,549.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/hair-fall-defense-onion-shampoo-200-ml-conditioner-free-combo-897.webp?v=1749898095, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/hair-fall-defense-onion-shampoo-200-ml-conditioner-free-combo-322.webp?v=1749898097, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/hair-fall-defense-onion-shampoo-200-ml-conditioner-free-combo-321.webp?v=1749898100, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/hair-fall-defense-onion-shampoo-200-ml-conditioner-free-combo-240.webp?v=1749898102, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/hair-fall-defense-onion-shampoo-200-ml-conditioner-free-combo-973.webp?v=1749898104, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/hair-fall-defense-onion-shampoo-200-ml-conditioner-free-combo-330.webp?v=1749898106, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/hair-fall-defense-onion-shampoo-200-ml-conditioner-free-combo-925.webp?v=1749898108",daily,summers,Multicolor,Adults (18-45),Generic brand story.
7273038381133,"Biotin & Protein Rich  Super Shampoo™ for Daily Nourishment, Damage & Frizz Control  - 300ml + Free Scalp Massager",6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair,Arata,Shampoo,"aloe vera shampoo, aloevera, apple cider vinegar, argan oil, badge_Bestseller, Best Organic Shampoo, Best Sellers, best shampoo, bhringraj shampoo, bundle-product, combo, combos, damage repair, DEAL35, Fine, Fine/Thinning Hair, hair, hair growth, hair thining, hair-fall, Hairfall, LIVE, moisturising, natural shampoo for me, normal, Normal/Straight, onion oil, organic shampoo for hair fall, Organic Shampoo For Hair Loss, organic shampoo for hair regrowth, organic shampoo for me, organic shampoo for women, PAYDAY, regenerating, revitalising, shampoo, shampoo for hair regrowth, shampoo for hair thinning, shark, Shark Tank, single, straight, super, vegan shampoo, wash",41134740865101,Default Title,ansss1,899.00,899.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Super_Shampoo_FREE_Scalp_Massager.png?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-242_1160dbdc-c9ab-4dc5-8592-40f1b967d782.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-817.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-162.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-957.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-206.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-465.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-866.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-381.webp?v=1764841501, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/6-in-1-super-shampoo-for-hair-loss-reduction-damage-repair-300ml-307.webp?v=1764841501",daily,summers,"Red, Tan",Adults (18-45),Generic brand story.
7585139228749,"Multi-Active Anti-Hair Fall Shampoo & Conditioner Duo | Powered by ReparAge®, Hairdian AP, Biotin, and Rosemary",anti-hair-fall-shampoo-conditioner,Arata,,"badge_Just Arrived, combo, combos, LIVE, shampoo",42163257901133,Default Title,AAHSC02,848.00,848.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Primary_Anti_hair_fall_Combo.webp?v=1761717467, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Combo_2_8eb02360-e3ed-4c32-8061-4e694cf68608.webp?v=1762172543, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Combo_3_d08eb173-a639-455d-a45d-0cd8802ac5ff.webp?v=1762172543, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Combo_4_cfac1475-0126-4752-92b0-ac7d568c932f.webp?v=1762172543, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Combo_5_75dd4dd6-0fc4-4207-961e-3ae5d4cefbb9.webp?v=1762172543, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Combo_6_82760e2b-1fa1-4df2-8ce0-0896ab8584b3.webp?v=1762172543, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Combo_7_0cc78823-588a-44aa-9d50-ee15b2976308.webp?v=1762172543, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/Website_Secondaries_Anti_hair_fall_Combo_8_5aeab461-776f-4bc6-ae4f-ebb95afd977f.webp?v=1762172543",daily,summers,Multicolor (Red),Adults (18-45),Generic brand story.
6748121006157,Sea Salt Hair Texture Spray- 50 ml,sea-salt-thickening-hair-spray,Arata,Styling Product,"badge_Bestseller, Best Sellers, bundle-product, combo, combos, DEAL, DEAL30, FLASH379, hair, hair spray, LIVE, PAYDAY, Republic, Shark Tank, single, spray, style pro, styling, vday",39685528125517,Default Title,ANST01,399.00,399.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-932.webp?v=1749897844, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-987.webp?v=1749897846, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-206.webp?v=1749897848, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-864.webp?v=1749897850, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-599.webp?v=1749897853, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-650.webp?v=1749897855, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-363.webp?v=1749897857, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-454.webp?v=1749897859, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-180.webp?v=1749897861, https://cdn.shopify.com/s/files/1/0082/7300/2573/files/sea-salt-hair-texture-spray-50-ml-styling-product-185.webp?v=1749897863",daily,summers,Tan,Adults (18-45),Generic brand story.
