product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
8333671596340,Beardo & Freed Majestic Duo Gift Set (For Him & Her),qe-tsunami-beardoxfreed-ultimate-his-hers-perfume-combo,Beardo,Fragrance combo,"Featured, For Him & Her, Gifts For Men",45336885231924,Default Title,BDCB319,999.00,2099.00,False,Default Title,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_Queen_Energy___Beardo_Tsunami_Combo_2160x2160_a476153e-dbce-4eec-84cf-31a5fe0be8b9.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/2_ce67a539-7799-4f1d-beaf-74471bf78d7a.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/3_47bdbc14-a1e8-4265-90ca-3b26d40e60cd.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/4_55c60967-2744-4bdb-84d2-ac3fb732d3ff.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/5_1729114b-e6b5-4cbb-809e-31d16467e362.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/6_aaf54c7f-48ed-441c-be7f-a459864202fd.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Tsunami_2160x2160_02_12a97fc5-513c-4922-b8f0-038ff738d728.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Tsunami_2160x2160_03_56014087-bf9f-44f7-9ace-eb99ff65f01d.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/7_3dc215c8-e0b5-4d0e-b650-a3e65df70ac3.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_QueenEnergy_7.jpg?v=1686809282, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_QueenEnergy_8.jpg?v=1686809282",daily,summers,Red,Adults (18-45),Generic brand story.
8333759086900,Beardo & Freed Spicy Perfume Gift Set (For Him & Her),smokin-hot-single-malt-beardoxfreed-god-goddess-perfume-combo-for-men-women,Beardo,Fragrance combo,"Featured, Gifts For Men",45337336086836,Default Title,BDCB320,999.00,2898.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_Smokin__Hot___Beardo_WS_Single_Malt_Combo_2160x2160_523d6509-80f3-45d5-9b49-e5b75cc71192.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/2_0a25e1a4-3a5a-40b0-afd8-6828bd4a69ca.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/3_4559d1da-c497-4272-913a-dbdde8086145.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/4_589d1921-a7da-4692-aefd-eb0f99d10b2d.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/5_b6a86814-af11-4094-896f-b621154034c1.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/6_d21feb7c-4d88-4cda-a167-d5d18618eca4.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/5_7c877b67-5a0d-44b1-a8be-d33d3595fdfe.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/6_cfd10373-c1ad-4734-acd7-89b9f2f6baed.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/7_46577f0b-70fc-435e-8c43-43d2764f03ec.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_Smokin_Hot_7.jpg?v=1686809376, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_Smokin_Hot_8.jpg?v=1686809376",daily,summers,Red,Adults (18-45),Generic brand story.
8333761151284,Beardo & Freed Ultimate Perfume Combo (For Him & Her),https-beardo-in-products-smokin-hot-whiskey-smoke-beardoxfreed-start-a-fire-perfume-combo-for-men-women,Beardo,Fragrance combo,Gifts For Men,45337338937652,Default Title,BDCB321,999.00,2099.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_Smokin__Hot___Beardo_WS_Combo_2160x2160_ad54fa36-afc9-4dc3-9460-cb5478d6c077.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/2_06a0cc46-dbd4-4b44-8164-300d38c4fcdf.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/3_3bf0730a-88ca-4d1d-9412-b1dd8f0c7a3f.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/4_81c72d61-7533-4269-82fc-73976121cfcb.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/5_d88c2e5d-4a06-4f97-babf-0569b0674141.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/6_a78ec5bb-0562-4250-b1f2-ef88eb268056.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/7_29794bd0-4738-4503-8508-ef1ea988cdef.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/8_236fd532-cc01-4ce9-9dd8-c6c4b8d513dd.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/9_f33ed7b0-682d-400e-8cf9-6508522c9f3c.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_Smokin_Hot_7_318326d3-93f0-4896-94c6-fa7e62b0248d.jpg?v=1686809434, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Freed_Smokin_Hot_8_190561e5-3c83-47b8-8ebe-14b5d57ca02e.jpg?v=1686809434",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8230762217780,Beardo 30 Days Grooming Kit for Bearded Men,beardo-30-days-grooming-kit-for-bearded-men,Beardo,mix combo,"Combos, Most Wanted Combos",44872208384308,Default Title,BDCB791,1799.00,3023.00,False,Default Title,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/files/30DaysGroomingKitforBeardedMen2160x2160.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/2_15e9dfb7-b4d7-4572-963f-ac4c87e60bb5.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/3_33854c11-4de8-4b80-8831-0838d88d889b.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/8_ac9d3326-1d83-4ce8-8512-de3a5d4da09f.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/9_ec074cfa-59f0-401a-9e01-16db599c3ec8.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/3_4ffae991-86be-413c-b8e6-24de08b1bd3e.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/BeardoCredWhiskySmokePerfumelistingimage_2160x2160_03.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/BeardoCredWhiskySmokePerfumelistingimage_2160x2160_04.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_Charcoal_Peel_Off_Mask_A__Banner_1080x1080_09.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/8_1dde63fd-7da2-4d2e-ba5d-717385feaf18.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Berado_MediaBanner_XxtraStrongHoldHairWaxImage_2.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/hairwax_xxtrastonghold_back.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Ultra_Glow_Face_Wash_100ml_2160x2160_a58824b9-093c-44c9-9ea6-c56c00506067.jpg?v=1707200363, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/1_e0963d4f-ffaa-45a9-88cc-6e9aa3b1603a.jpg?v=1707200442, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/3_835cb373-4783-41bc-9796-4e4a78c654b0.jpg?v=1707200444, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/4_740fc6f7-c960-4ece-81a7-6a8ea874e835.jpg?v=1707200443, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/7_bdf522aa-6798-4b67-8c0f-284070bac7e0.jpg?v=1707200443, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/3_0b4c6945-c1a0-41d9-a0ac-8a3f765498c4.jpg?v=1707200666, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/4_435b3775-76e6-4a5e-954c-c6595efbe471.jpg?v=1707200667, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/7_9e41a5c6-36f3-4833-af9c-c4da6315a9d8.jpg?v=1707200667, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/4_137baba2-8dea-4c01-9a20-915f5eaf504f.jpg?v=1707200877, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/5_e29c28ac-7d8d-4b6a-8465-0d09a49ed8c1.jpg?v=1707200876, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Lip_Balm_Amazon_A__Banner_2160x2160_04.1_c403518d-8f5b-418b-b4a0-d0b52a974750.jpg?v=1707200878, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/o_299c36ed-2c49-464c-a237-f10979991d02.jpg?v=1707200876",daily,summers,Red,Adults (18-45),Generic brand story.
8230770770228,Beardo 5-in-1 Ultimate Grooming Gift set for Men,beardo-gift-box-5-in-1,Beardo,mix combo,"Beard, Charcoal, Gifts For Men",44872238563636,Default Title,BDCB231,899.00,1519.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/products/1_d81055c3-b808-4f66-afa5-cbec0012f650.jpg?v=1681824700, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/2_70fde108-8575-4676-bc70-27b99a94c164.jpg?v=1681824700, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/3_9488a888-e827-4dfc-ba0a-742d25aef131.jpg?v=1681824700, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/4_f9bde57d-7763-4c4b-b00e-80d43da5fe6d.jpg?v=1681824700, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/5_15b6d776-39a0-4cb3-9a71-ee490af7ddb8.jpg?v=1681824700, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/6_deab2794-c1f7-4ed3-a34c-819b3889cd4a.jpg?v=1681824700, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/7_0e40c403-9819-4942-a576-b2bb8d7cf5b7.jpg?v=1681824701, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Godfather_Beard_Oil_2160x2160_02.jpg?v=1686392004, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Godfather_Beard_Oil_2160x2160_03.jpg?v=1686392004, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Charcoal_Face_Wash_A__Banner_2160x2160_02.jpg?v=1686392033, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Mustache___Beard_Wax_2160x2160_02.jpg?v=1686392034, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Mustache_Growth_Roll_On_2160x2160_02.jpg?v=1686392033, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_WS_MC_2160x2160_02.jpg?v=1686392033, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_WS_MC_2160x2160_03.jpg?v=1686392033",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8230770409780,Beardo Acne Clear 2 in 1 Toning Serum,beardo-acne-clear-2in1-toning-serum,Beardo,Face Serum,"Acne, Face, Serum",44872236597556,30ml,BDSE012,399.00,550.00,False,30ml,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/products/1_87591749-a563-4512-934b-58b3e202cbc4.jpg?v=1681895799, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/2_3721b0d2-f47a-42e6-a31a-187c2929daa8.jpg?v=1681895799, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/3_2a1f1195-8a14-4beb-85c1-4300e165fc16.jpg?v=1681895799, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/4_583b3373-2028-4bbc-9207-486c20e76842.jpg?v=1681895799, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/5_b5e10a4f-d321-4aee-abd2-bb4138d934b9.jpg?v=1681895799, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/6_0d4b3654-c0c4-42af-bcec-41b3231f029c.jpg?v=1681895799, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/7_6e079842-2f45-499f-986d-b60e3b4c680e.jpg?v=1681895801, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_Acne_Clear_Toning_Serum_Bottle_BOP_02.jpg?v=1681895801, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_Acne_Clear_Toning_Serum_MC_BOP_02.jpg?v=1681895801",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8236611076404,Beardo Acne Clear Foam Facewash,beardo-acne-clear-foam-face-wash,Beardo,Facewash,"Acne, Face, Facewash, sharechat, Trending Products",44902727975220,100ml,BDCL116,299.00,350.00,True,100ml,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/products/AcneClearFacewashA_Banner_2160x2160_12.jpg?v=1681908317, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/2_64b0bbce-8aa5-421c-a8c3-dce84c521194.jpg?v=1681908317, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/3_0a24c817-bce0-4683-836f-3f56ef7ab2bd.jpg?v=1681908317, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/5_471e8f78-d77e-4b4c-8baa-d092a6f6161f.jpg?v=1681908317, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/AcneClearFacewashA_Banner_2160x2160_11.jpg?v=1681908317, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/6_e203f76a-97dc-49b4-b0c3-861a2b1638c3.jpg?v=1688455414, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/AcneClearFacewashA_Banner_2160x2160_9c8f6cb7-5a9f-4d21-a7a9-7a6b8834cd18.jpg?v=1688455414",daily,summers,Multicolor,Adults (18-45),Generic brand story.
9181482385716,Beardo ACNE COMBAT TRIO,beardo-acne-combat-trio,Beardo,Skin Combo,"Acne, body wash, Combos, Summer products",48394506338612,Default Title,BDCB518,699.00,1199.00,False,Default Title,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/files/COMBO_2160_x_21650_2b813421-dbac-4097-b657-5af370252a3b.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/ONE.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/TWO.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/THREE_8ef4b4cc-e56e-4077-8644-24500a893704.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/FOUR_19e2e9e2-2605-4aa0-84a8-acc1e4305a42.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/FIVE.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/SIX_5a2bc147-c568-4128-8fe8-a104a0c508e9.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/SEVEN.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/EIGHT.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/NINE.jpg?v=1734506955, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/TEN.jpg?v=1734506927, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/AcneClearFacewashA_Banner_2160x2160_9c8f6cb7-5a9f-4d21-a7a9-7a6b8834cd18.jpg?v=1688455414, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_Acne_Clear_Toning_Serum_Bottle_BOP_02.jpg?v=1681895801, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_Acne_Clear_Toning_Serum_MC_BOP_02.jpg?v=1681895801, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_B-Acne_Clear_Body_Wash_For_US_1024x1024_01_672437d6-13f5-4607-9b40-792ed51325d9.jpg?v=1680176205",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8230771097908,Beardo Acne Control combo,beardo-acne-control-combo,Beardo,Skin Combo,"Acne, body wash, Combos, Summer products",44872240234804,Default Title,BDCB245,599.00,1124.00,False,Default Title,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/files/AcneCombo_2160_2160_04.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/1_fd433afb-78c4-4b8f-b202-88a4cfd626b2.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/3_cd0b38bd-3bd0-4b03-be15-1bf58d0b4c40.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/4_3d75202d-5a97-4d48-9b7f-abfe65a2c992.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/5_f50d951f-49d5-46bf-80ea-85a99bcb8440.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/6_04f6f937-395d-468b-b83d-02e379092f77.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/7_a9794fd0-f13e-431e-a676-7c9e3c9b7a85.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/B-Acne_Clear_Body_Wash_A__Banner_2160x2160_08.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/no.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Neem_Face_Wash_A__Banner_1080x855_01_9fc747b9-d951-4dcd-8a24-8c65eca562f9.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Neem_Face_Wash_A__Banner_1080x855_02_a8482e41-a59f-46c2-bbc0-d7be11f2fedd.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Neem_Face_Wash_A__Banner_1080x855_03-Copy.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Neem_Face_Wash_A__Banner_1080x855_05_ab60834f-c34f-4491-bdd3-33fd66e5b005.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Neem_Face_Wash_A__Banner_1080x855_08_2723cab5-d53f-4263-a45c-7689b193bfaa.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Neem_Face_Wash_A__Banner_1080x855_09_9d2d8ced-96ca-42c9-8388-8872bf369f93.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/07.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_Acne_Toning_Serum_A__Banner_2160x2160_04.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/BeardoB-AcneClearBodyWashforMen_200ml_01_441c0a9b-c317-48fc-b767-577dadcf69b4.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/1_10f05792-7c22-4167-88c3-5669cffe5f7b.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/2_c0d0dc89-5392-4663-93e1-c1734f979804.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/4_fd05018f-eade-4cfd-a76c-138173cd8d78.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/5_a4e6883a-b18d-4e18-8faf-2283a16527b3.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/6_81ca9232-74d5-4b30-a0f5-b29dc3ca1021.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Acne_Toning_Serum_A__Banner_2160x2160_02_f03864ad-d029-43f7-8350-0958787f00b3.jpg?v=1689178960, https://cdn.shopify.com/s/files/1/0745/0201/3236/files/Beardo_Acne_Toning_Serum_A__Banner_2160x2160_03.1_fddf6aeb-b9c2-42c3-9350-14bcc7f32b18.jpg?v=1689178960",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8238304493876,Beardo Activated Charcoal Bodywash,beardo-activated-charcoal-bodywash,Beardo,Bodywash,"Body, body wash, Charcoal",48914909266228,200ml,BDCL107,299.00,299.00,True,200ml,,,"https://cdn.shopify.com/s/files/1/0745/0201/3236/products/1_60360690-dc4a-4014-bc8f-1b9dac26d963.jpg?v=1753811473, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/2_31c53cfa-de40-4264-a1ba-58e19165fa8e.jpg?v=1753811473, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/3_f2d554f9-2b55-41b4-9bfb-2818f1cab352.jpg?v=1764220636, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/4_6c9e1d35-c3f3-4029-be1d-ef85aa520ce4.jpg?v=1764220636, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/5_47235201-c376-4d24-b395-fb19560bfaaa.jpg?v=1753811473, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/6_cc7791a1-eb0c-4a9c-882f-78a2bec91bfb.jpg?v=1753811473, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/7_74684281-dd81-4425-be09-89fe7c559f16.jpg?v=1753811473, https://cdn.shopify.com/s/files/1/0745/0201/3236/products/Beardo_Charcoal_BodyWash_FOP.jpg?v=1753811473",daily,summers,Multicolor,Adults (18-45),Generic brand story.
