product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
581594,Men's Grey Pyjamas,mens-gray-buff-inner-elastic-exposed-pyjama,Bewakoof,,,581594,Default,,599,1299,True,,,,men-s-grey-pyjamas-581594-1747894023-1.jpg,daily,summers,Grey,Adults (18-45),Generic brand story.
295624,Men's Blue Trust Your Ability Typography T-shirt,trust-your-ability-half-sleeve-t-shirt-navy-blue,Bewakoof,,,295624,Default,,449,999,True,,,,men-s-blue-trust-your-ability-typography-t-shirt-295624-1745221264-1.jpg,daily,summers,Blue,Adults (18-45),Generic brand story.
210687,Men's Jet Black Vest,jet-black-round-vest-for-men,Bewakoof,,,210687,Default,,399,799,True,,,,men-s-jet-black-vest-210687-1755589153-1.jpg,daily,summers,Black,Adults (18-45),Generic brand story.
671012,Men's Chocolate Brown Just Do It Typography Oversized T-shirt,mens-chocolate-brown-just-do-it-graphic-printed-oversized-t-shirt,Bewakoof,,,671012,Default,,599,1899,True,,,,men-s-chocolate-brown-just-do-it-graphic-printed-oversized-t-shirt-671012-1744721949-1.jpg,daily,summers,Brown,Gen Z (18-24),Generic brand story.
648728,Men's Green Loki Graphic Printed Oversized Acid Wash T-shirt,mens-green-loki-graphic-printed-oversized-t-shirt,Bewakoof,,,648728,Default,,899,2099,True,,,,men-s-green-loki-graphic-printed-oversized-acid-wash-t-shirt-648728-1761828694-1.jpg,beach wears,summers,Green,Gen Z (18-24),Generic brand story.
608736,Men's White Rock N Roll Graphic Printed T-shirt,men-rock-n-roll-regular-graphic-printed-t-shirt-1,Bewakoof,,,608736,Default,,499,1149,True,,,,men-s-white-rock-n-roll-graphic-printed-t-shirt-608736-1740491613-1.jpg,beach wears,summers,White,Gen Z (18-24),Generic brand story.
689680,Men's Dark Shadow Grey Marvel Hulk Graphic Printed Oversized T-shirt,mens-dark-shadow-grey-marvel-hulk-graphic-printed-oversized-t-shirt,Bewakoof,,,689680,Default,,799,1899,True,,,,men-s-dark-shadow-grey-marvel-hulk-graphic-printed-oversized-t-shirt-689680-1757654684-1.jpg,beach wears,summers,Grey,Gen Z (18-24),Generic brand story.
519159,Men's Black Batman Outline Logo Graphic Printed Oversized T-shirt,men-black-batman-outline-logo-bml-printed-t-shirt,Bewakoof,,,519159,Default,,649,1299,True,,,,men-s-black-batman-outline-logo-graphic-printed-oversized-t-shirt-519159-1753167794-1.jpg,beach wears,summers,Black,Gen Z (18-24),Generic brand story.
637169,Men's Green Wakanda Forever Graphic Printed Oversized T-shirt,mens-green-wakanda-forever-graphic-printed-oversized-t-shirt,Bewakoof,,,637169,Default,,699,1449,True,,,,men-s-green-wakanda-forever-graphic-printed-oversized-t-shirt-637169-1739771293-1.jpg,beach wears,summers,Green,Gen Z (18-24),Generic brand story.
620196,Men's Black Panther Mech Graphic Printed Oversized T-shirt,mens-black-panther-mech-graphic-printed-oversized-t-shirt,Bewakoof,,,620196,Default,,699,1299,True,,,,men-s-black-panther-mech-graphic-printed-oversized-t-shirt-620196-1730989624-1.jpg,beach wears,summers,Black,Gen Z (18-24),Generic brand story.
574176,Men's Black & Orange Tie & Dye Oversized T-shirt,men-tie-dye-oversize-plain-t-shirt-7,Bewakoof,,,574176,Default,,699,1449,True,,,,men-s-black-orange-tie-dye-oversized-t-shirt-574176-1761219216-1.jpg,daily,summers,Black,Gen Z (18-24),Generic brand story.
589373,Men's Blue Beetle Graphic Printed T-shirt,mens-blue-blue-beetle-graphic-printed-t-shirt,Bewakoof,,,589373,Default,,499,1499,True,,,,men-s-blue-beetle-graphic-printed-t-shirt-589373-1745412238-1.jpg,beach wears,summers,Blue,Gen Z (18-24),Generic brand story.
630667,Men's Black Need Space Snoopy Graphic Printed Oversized T-shirt,mens-black-need-space-snoopy-graphic-printed-oversized-t-shirt-men,Bewakoof,,,630667,Default,,699,1299,True,,,,men-s-black-need-space-snoopy-graphic-printed-oversized-t-shirt-630667-1730989610-1.jpg,beach wears,summers,Black,Gen Z (18-24),Generic brand story.
685295,Men's Ginger Root Brown Dynamic Dosti Graphic Printed Oversized T-shirt,mens-ginger-root-brown-dynamic-dosti-graphic-printed-oversized-t-shirt,Bewakoof,,,685295,Default,,699,1699,True,,,,men-s-ginger-root-brown-dynamic-dosti-graphic-printed-oversized-t-shirt-685295-1753967251-1.jpg,beach wears,summers,Brown,Gen Z (18-24),Generic brand story.
283889,Men's Black Batman Graphic Printed T-shirt,batman-outline-logo-half-sleeve-t-shirt-for-men,Bewakoof,,,283889,Default,,499,1099,True,,,,men-s-black-batman-graphic-printed-t-shirt-283889-1737697420-1.jpg,beach wears,summers,Black,Gen Z (18-24),Generic brand story.
589152,Men's Blue Dementors Graphic Printed T-shirt,mens-blue-dementors-graphic-printed-t-shirt,Bewakoof,,,589152,Default,,499,1149,True,,,,men-s-blue-dementors-graphic-printed-t-shirt-589152-1755510033-1.gif,beach wears,summers,Blue,Gen Z (18-24),Generic brand story.
