product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
4367,Rlaarlo 11.1V 4400mah 3S Lipo Battery XT60 Plug,rlaarlo-11-1v-4400mah-3s-lipo-battery-xt60-plug,Hobby Central,simple,,,,,4500,4500,True,,,,"https://hobbycentral.co.in/wp-content/uploads/2026/01/RE038_1.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2026/01/RE038.jpg.webp",daily,summers,Multicolor,Adults (18-45),Generic brand story.
4172,FMS 1/10 FCX10 PRO Brushless Toyota Land Cruiser 80 RS V2,fms-1-10-fcx10-pro-brushless-toyota-land-cruiser-80-rs-v2,Hobby Central,simple,,,,,52500,52500,False,,,,"https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX10PROLC80V2-1_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/1-10LC80BluePro_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX10LC80PROV2Difference_700x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX10PROLC80V2-2_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser2_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser3_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser4_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser5_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser9_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser10_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser11_800x.jpg, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser12_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS110FCX10PROBrushlessToyotaLandCruiser13_800x.jpg.webp",daily,summers,Blue,Adults (18-45),Generic brand story.
4171,FMS 1/10 FCX10 PRO Brushless Toyota Land Cruiser 80 RS V2,,Hobby Central,simple,,,,,,,True,,,,,daily,summers,Multicolor,Adults (18-45),Generic brand story.
4146,FMS FCX18 1:18 CHEVROLET K10 RTR – YELLOW V2,fms-fcx18-118-chevrolet-k10-rtr-yellow-v2,Hobby Central,simple,,,,,18500,18500,False,,,,"https://hobbycentral.co.in/wp-content/uploads/2025/11/1-18K10Yellow_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/1-18-K10-2_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/1-18K10_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/fcx18-lc80-yellow_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/ComparisonbetweenoldandnewK10_1200x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/1-18K10Yellow_800x.jpg-1.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18ChevroletK10V21_800x.jpg, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18ChevroletK10V2Yellow2_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18K10_17_800x.jpg.webp",daily,summers,Yellow,Adults (18-45),Generic brand story.
4144,FMS FCX18 1:18 CHEVROLET K10 RTR – BLACK V2,fms-fcx18-118-chevrolet-k10-rtr-black-v2,Hobby Central,simple,,,,,18500,18500,False,,,,"https://hobbycentral.co.in/wp-content/uploads/2025/11/1-18K10Black_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FMS-118-FCX18-Chevrolet-K10-RTR-15_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18K10_8_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18ChevroletK10V21_800x-1.jpg, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18ChevroletK10V2Black1_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/ComparisonbetweenoldandnewK10_1200x.jpg-1.webp",daily,summers,Black,Adults (18-45),Generic brand story.
4145,FMS FCX18 1:18 CHEVROLET K10 RTR – RED V2,fms-fcx18-118-chevrolet-k10-rtr-red-v2,Hobby Central,simple,,,,,18500,18500,False,,,,"https://hobbycentral.co.in/wp-content/uploads/2025/11/1-18K10Red_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/ComparisonbetweenoldandnewK10_1200x.jpg-2.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18ChevroletK10V2Red3_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18ChevroletK10V2Red2_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18ChevroletK10V21_800x-2.jpg, https://hobbycentral.co.in/wp-content/uploads/2025/11/FCX18K10_5_800x.jpg.webp",daily,summers,Red,Adults (18-45),Generic brand story.
4131,FMS 1:7 Ford Bronco RTR EB Brushless 4WD,fms-17-ford-bronco-rtr-eb-brushless-4wd,Hobby Central,simple,,,,,66500,66500,False,,,,"https://hobbycentral.co.in/wp-content/uploads/2025/11/FordBroncoRTREB1_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FordBroncoRTREB-FunHaver_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FordBroncoRTREB-LorenHealy_900x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FordBroncoRTREB6_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FordBroncoRTREB9_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/FordBroncoRTREB10_800x.jpg.webp",daily,summers,Multicolor,Adults (18-45),Generic brand story.
4129,FMS 1:7 Ford Bronco RTR EB Brushless 4WD,,Hobby Central,simple,,,,,,,True,,,,,daily,summers,Multicolor,Adults (18-45),Generic brand story.
4116,Rlaarlo XTS P12 Brushless 1:12 Scale 4WD Rally Car - Red (3S LiPo Version),rlaarlo-xts-p12-brushless-112-scale-4wd-rally-car-red-3s-lipo-version,Hobby Central,simple,,,,,20500,20500,True,,,,"https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_6833a292-6ea2-488c-b07d-dab9b41386dd_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_7a48fbd5-a634-43fa-9494-2efe9ea8b425_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_8b2ae8e4-518b-4ac6-9fa0-b6dbac4189c6_800x.png.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_046c2602-e8a6-4386-9227-ebf0f5177025_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_7447bc10-410b-4ec7-88de-141e0ce9b281_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_ad7f4c71-690d-4abf-9267-cadea7d82401_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_e6e1c6ed-5689-4e19-a0fd-cbe0e0c6eb0b_800x.png.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_f46f46a6-d694-4383-96a9-a837f5bf0893_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_6f00bf85-0df8-40cf-8b04-66fa9e3036c1_800x.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/rn-image_picker_lib_temp_6fe1dcc0-c889-4b7b-9053-0f6af7df890e_800x.jpg.webp",daily,summers,Red,Adults (18-45),Generic brand story.
4104,Rlaarlo 1/10 On-Road Cars AK-787 Dual Motor RTR Standon,rlaarlo-1-10-on-road-cars-ak-787-dual-motor-rtr-standon-2,Hobby Central,simple,,,,,64000,64000,False,,,,"https://hobbycentral.co.in/wp-content/uploads/2025/11/AK-787O-CV2.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/AK-787O-CV_6.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/AK-787O-CV_5.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/AK-787O-CV_4.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/AK-787O-CV_3.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/AK-787B-CV_2.jpg.webp, https://hobbycentral.co.in/wp-content/uploads/2025/11/AK-787B-CV_1.jpg.webp",daily,summers,Tan,Adults (18-45),Generic brand story.
