product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
5511,TRASPED HG4-413 1:64 Scale Mini RC Excavator | Alloy Bucket | 270° Rotation | App Control | Lights &#038; Sound,trasped-hg4-413-164-scale-mini-rc-excavator-alloy-bucket-270-rotation-app-control-lights-sound,MRC Hobbies,simple,,,,,259600,472000,True,,,,"https://mrchobbies.in/wp-content/uploads/2026/01/gbfhf-Photoroom.jpg, https://mrchobbies.in/wp-content/uploads/2026/01/TRTYYR.png, https://mrchobbies.in/wp-content/uploads/2026/01/s-l1600_50__imresizer.jpg, https://mrchobbies.in/wp-content/uploads/2026/01/Y65657.jpg",daily,summers,Multicolor,Adults (18-45),Generic brand story.
5499,TRASPED HG4-414 1:64 Scale Mini RC Alloy Dump Truck | 2.4G App Control | Lights &#038; Music,trasped-hg4-414-164-scale-mini-rc-alloy-dump-truck-2-4g-app-control-lights-music,MRC Hobbies,simple,,,,,259600,472000,True,,,,"https://mrchobbies.in/wp-content/uploads/2026/01/ggdhd.png, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_bdbb08df14b94cca9a595705c26c6003_mv2_47bd2a32-d635-4498-890a-0b4c1575aaaf.jpeg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_92fc42f5bd1a4f89be922e448e03e11f_mv2.jpeg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_be7afc2294a44e628669e7043169901e_mv2.jpeg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_bdbb08df14b94cca9a595705c26c6003_mv2.jpeg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_92fc42f5bd1a4..._imresizer.jpg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_4e13e78eaff44..._imresizer.jpg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_bf5a6099428c4e4284fd6d068582d140_mv2.jpeg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_b4127942583c43c6bc42f5d56fbbbdbb_mv2.jpeg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_ac9229c9b7014..._imresizer.jpg, https://mrchobbies.in/wp-content/uploads/2026/01/da46f2_d4bc1fb68d4149a7b2c0e4916ce255d3_mv2.jpeg",daily,summers,Multicolor,Adults (18-45),Generic brand story.
5490,Huina 1537 PRO 1:14 Alloy RC Cement Mixer Truck Large 8-Wheel Heavy Construction Transport Vehicle,huina-1537-pro-114-alloy-rc-cement-mixer-truck-large-8-wheel-heavy-construction-transport-vehicle,MRC Hobbies,simple,,,,,1770000,2950000,True,,,,"https://mrchobbies.in/wp-content/uploads/2026/01/huina1573.png, https://mrchobbies.in/wp-content/uploads/2026/01/huina1573-1.png, https://mrchobbies.in/wp-content/uploads/2026/01/huina1537-3.png",daily,winters,Multicolor,Adults (18-45),Generic brand story.
5483,Huina 1536 1:14 Alloy RC Dump Truck – 12CH Large 8-Wheel Heavy Construction Transport Vehicle,huina-1536-114-alloy-rc-dump-truck-12ch-large-8-wheel-heavy-construction-transport-vehicle,MRC Hobbies,simple,,,,,1770000,2950000,True,,,,"https://mrchobbies.in/wp-content/uploads/2026/01/huina-1536.webp, https://mrchobbies.in/wp-content/uploads/2026/01/huina-1536-2.webp, https://mrchobbies.in/wp-content/uploads/2026/01/huina-1536-3.webp, https://mrchobbies.in/wp-content/uploads/2026/01/huina-1536-4.webp, https://mrchobbies.in/wp-content/uploads/2026/01/huina-1536-5.webp, https://mrchobbies.in/wp-content/uploads/2026/01/huina-1536-6.webp",daily,winters,Multicolor,Adults (18-45),Generic brand story.
5439,"MJX Hyper Go 14211 1/14 Brushless Short Course RC Truck -70km/h, CNC Alloy Rally Rccar India",mjx-hyper-go-14211-1-14-brushless-short-course-rc-truck-70km-h-cnc-alloy-rally-rccar-india,MRC Hobbies,simple,,,,,1958800,2360000,True,,,,"https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211-3.webp, https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211-7.webp, https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211-6.webp, https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211-5.webp, https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211-4.webp, https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211-2.webp, https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211-1.webp, https://mrchobbies.in/wp-content/uploads/2026/01/hypergo-14211.webp",daily,summers,Multicolor,Adults (18-45),Generic brand story.
5286,JJRC C8823 – 1/18 Scale 6WD Unimog RC Truck,jjrc-c8823-1-18-scale-6wd-unimog-rc-truck,MRC Hobbies,simple,,,,,1180000,2360000,True,,,,"https://mrchobbies.in/wp-content/uploads/2025/12/6-1000x1000-1.jpg, https://mrchobbies.in/wp-content/uploads/2025/12/3-1000x1000-1.jpg, https://mrchobbies.in/wp-content/uploads/2025/12/1-1000x1000-1.jpg, https://mrchobbies.in/wp-content/uploads/2025/12/shopping-8.webp",daily,summers,Multicolor,Adults (18-45),Generic brand story.
5248,Huina 1593 RC Excavator,huina-1593-rc-excavator,MRC Hobbies,simple,,,,,2183000,2950000,True,,,,"https://mrchobbies.in/wp-content/uploads/2025/12/H1cbec3f6c2ad4bfcb0f43e6a9ca359f7K_250x_4b4f3ac3-3608-426f-8edc-18e9629d99ae.jpg, https://mrchobbies.in/wp-content/uploads/2025/12/ew-excavator-1593-remote-control-excava_main-2_1200x_f8de822a-18d4-4dbf-8a62-95e71ee10660.jpeg, https://mrchobbies.in/wp-content/uploads/2025/12/ew-excavator-1593-remote-control-excava_main-1_1200x_2375746a-f27f-46a4-a089-299542fcb87f.jpeg, https://mrchobbies.in/wp-content/uploads/2025/12/image_800x_3582114f-83e7-40a7-a91b-bf9b55a7978a.jpeg, https://mrchobbies.in/wp-content/uploads/2025/12/image_900x_5e851f5f-4459-498c-82e1-4ae6c415e52b.jpeg, https://mrchobbies.in/wp-content/uploads/2025/12/ew-excavator-1593-remote-control-excava_main-3_1200x_51937a47-8f2a-4c9b-8db5-1128fbf0b23d.jpeg, https://mrchobbies.in/wp-content/uploads/2025/12/ew-excavator-1593-remote-control-excava_main-4_1200x_b907f371-aed0-444a-b26e-af48f69b24e2.jpeg",daily,summers,Multicolor,Adults (18-45),Generic brand story.
5198,FMS 1:10 FCX10 Chevrolet K5 Blazer,fms-110-fcx10-chevrolet-k5-blazer,MRC Hobbies,simple,,,,,4956000,6136000,True,,,,"https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-9_800x.webp, https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-10_800x.webp, https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-11_800x.webp, https://mrchobbies.in/wp-content/uploads/2025/11/RTRVSRSRCCarDifference_800x-1-1.webp, https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-1_800x.webp, https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-5_800x.webp, https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-7_800x.webp, https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-6_800x.webp, https://mrchobbies.in/wp-content/uploads/2025/11/FCX10ChevroletK5BLAZER-8_800x.webp",daily,summers,Multicolor,Adults (18-45),Generic brand story.
5182,WL Toys K989 Drift Rc Cars,wl-toys-k989-drift-rc-cars,MRC Hobbies,simple,,,,,944000,1180000,True,,,,"https://mrchobbies.in/wp-content/uploads/2025/11/51PP7YiDrEL.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/51V8bQI7AfL.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/51PRnKnu4nL.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/51bN-7b2gL.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/515GGjMvdL.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/51l8N43-kL.jpg",daily,summers,Multicolor,Adults (18-45),Generic brand story.
5166,"1:43 Full Scale Mini 4WD Drifting Charging Remote Control Car, Color: 4305G Porsche With Gyroscope",143-full-scale-mini-4wd-drifting-charging-remote-control-car-color-4305g-porsche-with-gyroscope,MRC Hobbies,simple,,,,,377600,590000,True,,,,"https://mrchobbies.in/wp-content/uploads/2025/11/51ahQNwe9PL._SL1000_.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/61VHEcOUTJL._SL1000_.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/61A6T1hTuuL._SL1500_.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/71-PTpa2fIL._SL1500_.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/71p0KAWWQtL._SL1500_.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/71hkZRhkjUL._SL1500_.jpg, https://mrchobbies.in/wp-content/uploads/2025/11/71p0KAWWQtL._SL1500_-1.jpg",daily,summers,Multicolor,Adults (18-45),Generic brand story.
