product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
7957330952449,Rope Chain | 6 MM,rope-chain-6-mm-37335,PALMONAS,Men's Chains,"20%, @ 1999, @1899, B1G1_Buy3_27Sep25, B1G1_Festive_190925, B2G1, BDAY3, BESTL90D_181024, Buy1Get1, CARNIVAL_0226, Chain Necklace, Colour_ Gold, CRED1000, Diwali_2025, Ethnic_031024, Excluded_Summer_cool, FESTIVE_190925, Festive_2025, FLAT50_100126, High_Inv_10032025, HOLI, Men's Chain, Men's_Collection, Metal_Stainless Steel, Necklace and Chains, non-goodbye_120924, NY2026, office wear, Party wear, Plating_18k Gold Plated, POS150425, POS220425, PREORDER_24, RakhiGifts120725, RMPOS2112, SHARK, show, WOMENS_2025, WOMENS_nongood, ZL",45906983944449,Gold / L-60cm/W-6mm,CHAIN-009-M,2633.00,3761.00,True,Gold,L-60cm/W-6mm,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/products/1_182adae1-9887-4e14-9203-abf43125dfd4.jpg?v=1744527319, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-009-M_2.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09450.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09452.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09451_1f3fc5f2-b4f4-4b34-8189-255439330233.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09453_f33db335-5d65-47b5-9ef4-57d67f21dc93.jpg?v=1751865579","office, party",summers,"Gold, Red",Millennials (25-40),Generic brand story.
7957330952449,Rope Chain | 6 MM,rope-chain-6-mm-37335,PALMONAS,Men's Chains,"20%, @ 1999, @1899, B1G1_Buy3_27Sep25, B1G1_Festive_190925, B2G1, BDAY3, BESTL90D_181024, Buy1Get1, CARNIVAL_0226, Chain Necklace, Colour_ Gold, CRED1000, Diwali_2025, Ethnic_031024, Excluded_Summer_cool, FESTIVE_190925, Festive_2025, FLAT50_100126, High_Inv_10032025, HOLI, Men's Chain, Men's_Collection, Metal_Stainless Steel, Necklace and Chains, non-goodbye_120924, NY2026, office wear, Party wear, Plating_18k Gold Plated, POS150425, POS220425, PREORDER_24, RakhiGifts120725, RMPOS2112, SHARK, show, WOMENS_2025, WOMENS_nongood, ZL",45906856182017,Gold / L-70cm/W-6mm,CHAIN-009-B,2633.00,3761.00,True,Gold,L-70cm/W-6mm,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/products/1_182adae1-9887-4e14-9203-abf43125dfd4.jpg?v=1744527319, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-009-M_2.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09450.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09452.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09451_1f3fc5f2-b4f4-4b34-8189-255439330233.jpg?v=1751865579, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/DSC09453_f33db335-5d65-47b5-9ef4-57d67f21dc93.jpg?v=1751865579","office, party",summers,"Gold, Red",Millennials (25-40),Generic brand story.
7957330624769,Wheat Chain | 3MM,wheat-chain-145518,PALMONAS,Men's Chains,"15%, @1899, B1G1_Buy3_27Sep25, B1G1_Festive_190925, B2G1, BDAY3, BEST SELLER, BESTL90D_181024, Buy1Get1, Christmas, Colour_ Gold, CRED1000, Diwali_2025, Excluded_Summer_cool, FESTIVE_190925, Festive_2025, FLAT50_100126, Fusion_031024, Hide, HOLI, Men's Chain, Men's_Collection, MENS CHAIN_NECKLACES, Metal_Stainless Steel, MIN40_070126, Necklace and Chains, NOFLAT200_070126, non-goodbye_120924, office wear, Party wear, Plating_18k Gold Plated, POS130125, POS150325, POS150425, POS311224, R_him, RakhiGifts120725, RM_B1G1_271225, RM_BDAY3_271225, RM_Goodbye_271225, RMPOS040125, SHARK, show, Statement Necklace, Valentine_2025, Wintercollection, ZL",45906855461121,L-50 cm x L-3 mm,CHAIN-003-S,1993.00,2847.00,True,L-50 cm x L-3 mm,,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_1.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/1_9a85b1c2-0c1f-4f84-b1e2-2c8f9a3b0456.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/3_ea5a539a-fb72-4ff8-a3d7-54adcb05d963.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_4_42e630fa-4047-4e0b-992c-5b4b28abd7e5.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_3_bbd2612e-ead3-4fc9-b1cb-d49239baca67.jpg?v=1744527328","office, party",summers,"Gold, Red",Millennials (25-40),Generic brand story.
7957330624769,Wheat Chain | 3MM,wheat-chain-145518,PALMONAS,Men's Chains,"15%, @1899, B1G1_Buy3_27Sep25, B1G1_Festive_190925, B2G1, BDAY3, BEST SELLER, BESTL90D_181024, Buy1Get1, Christmas, Colour_ Gold, CRED1000, Diwali_2025, Excluded_Summer_cool, FESTIVE_190925, Festive_2025, FLAT50_100126, Fusion_031024, Hide, HOLI, Men's Chain, Men's_Collection, MENS CHAIN_NECKLACES, Metal_Stainless Steel, MIN40_070126, Necklace and Chains, NOFLAT200_070126, non-goodbye_120924, office wear, Party wear, Plating_18k Gold Plated, POS130125, POS150325, POS150425, POS311224, R_him, RakhiGifts120725, RM_B1G1_271225, RM_BDAY3_271225, RM_Goodbye_271225, RMPOS040125, SHARK, show, Statement Necklace, Valentine_2025, Wintercollection, ZL",45906984272129,L-60 cm x L-3 mm,CHAIN-003-M,1993.00,2847.00,True,L-60 cm x L-3 mm,,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_1.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/1_9a85b1c2-0c1f-4f84-b1e2-2c8f9a3b0456.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/3_ea5a539a-fb72-4ff8-a3d7-54adcb05d963.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_4_42e630fa-4047-4e0b-992c-5b4b28abd7e5.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_3_bbd2612e-ead3-4fc9-b1cb-d49239baca67.jpg?v=1744527328","office, party",summers,"Gold, Red",Millennials (25-40),Generic brand story.
7957330624769,Wheat Chain | 3MM,wheat-chain-145518,PALMONAS,Men's Chains,"15%, @1899, B1G1_Buy3_27Sep25, B1G1_Festive_190925, B2G1, BDAY3, BEST SELLER, BESTL90D_181024, Buy1Get1, Christmas, Colour_ Gold, CRED1000, Diwali_2025, Excluded_Summer_cool, FESTIVE_190925, Festive_2025, FLAT50_100126, Fusion_031024, Hide, HOLI, Men's Chain, Men's_Collection, MENS CHAIN_NECKLACES, Metal_Stainless Steel, MIN40_070126, Necklace and Chains, NOFLAT200_070126, non-goodbye_120924, office wear, Party wear, Plating_18k Gold Plated, POS130125, POS150325, POS150425, POS311224, R_him, RakhiGifts120725, RM_B1G1_271225, RM_BDAY3_271225, RM_Goodbye_271225, RMPOS040125, SHARK, show, Statement Necklace, Valentine_2025, Wintercollection, ZL",45906984304897,L-70 cm x L-3 mm,CHAIN-003-B,1993.00,2847.00,False,L-70 cm x L-3 mm,,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_1.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/1_9a85b1c2-0c1f-4f84-b1e2-2c8f9a3b0456.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/3_ea5a539a-fb72-4ff8-a3d7-54adcb05d963.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_4_42e630fa-4047-4e0b-992c-5b4b28abd7e5.jpg?v=1744527328, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-003-M_3_bbd2612e-ead3-4fc9-b1cb-d49239baca67.jpg?v=1744527328","office, party",summers,"Gold, Red",Millennials (25-40),Generic brand story.
8179583353089,Shadow Octane Necklace,shadow-octane-pendant-97970,PALMONAS,Men's Chains,"14.02.2024, @ 1999, @1899, BDAY3, Buy1Get1, CARNIVAL_0226, Excluded_Summer_cool, FEB, FLAT50_100126, Flat999_251024, FridayDrop_Modern_Essentials, goodbye_230824, HOLI, Men's Chain, Men's_Collection, MIN40_070126, Necklace and Chains, NOFLAT200_070126, non-goodbye_120924, Pendant Necklace, POS150325, POS_040325, RMPOS2112, show",44456582676737,Default Title,CHAIN035,2805.00,4007.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/22_9843e52f-ad2c-44c1-8699-ec1f93f909a5.jpg?v=1744524795, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN035_ad10d2fb-2238-41f8-be17-37224f50a8c9.jpg?v=1744524795, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/23_c9c566bf-cc71-4c8b-a52c-9396582f7747.jpg?v=1744524795, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/asset_CHAIN035_10.jpg?v=1769947210, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/24_d0108342-e68c-4035-b027-5c018318ea74.jpg?v=1769947210",daily,summers,Tan,Adults (18-45),Generic brand story.
8728442044673,Classic Gold Chain Bracelet,classic-gold-chain-bracelet,PALMONAS,Men's Bracelets,"B1G1_Festive_190925, BDAY3, Bracelets, CARNIVAL_0226, Chain Bracelet, Colour_Gold, Diwali_2025, FESTIVE_190925, Festive_2025, FLAT50_100126, Hide, LD_17_02_2025, March_SUM, Men's_Bracelets, Men's_Collection, Metal_Stainless Steel, non-goodbye_120924, show",46056813428993,Default Title,PMMSSBR301-G,2239.00,3199.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/image_27b3eeef-c903-4b2b-85c8-d03ef4ef0794.jpg?v=1768831970, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/image_aa600a6c-465c-4c81-92ef-0e74e7e02248.jpg?v=1768831976, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/image_8e2fabd8-0711-4bd2-8214-9a2906160804.jpg?v=1769854175, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/image_411d84ca-b545-43a4-bd66-946e8d71dcb0.jpg?v=1769854175, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/image_1a820e3c-a630-4823-a363-698dae96c56c.jpg?v=1768831985",party,summers,Gold,Millennials (25-40),Generic brand story.
7957330723073,Cuban Chain | 3 MM,cuban-chain-18k-gold-tone-plated-35228,PALMONAS,Men's Chains,"15%, @1899, B1G1_Festive_190925, B2G1, BDAY3, BEST SELLER, BESTL90D_181024, BFCM_B1G1_171125, Bold_031024, Buy1Get1, Christmas, Colour_ Gold, CRED1000, Diwali_2025, Excluded_Summer_cool, FESTIVE_190925, Festive_2025, FLAT50_100126, Hide, HOLI, INFLUENCER220125, Men's Chain, Men's_Collection, MENS CHAIN_NECKLACES, Metal_Stainless Steel, MIN40_070126, NOFLAT200_070126, non-goodbye_120924, office wear, Party wear, Plating_18k Gold Plated, POS150325, POS_040325, R_him, RakhiGifts120725, RM_B1G1_271225, RMPOS040125, SHARK, show, Valentine_2025, Wintercollection, ZL",45906984206593,Gold / L-60 cm x W-3 mm,CHAIN-005-M,1993.00,2847.00,True,Gold,L-60 cm x W-3 mm,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-005-B_1.jpg?v=1744527324, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/2_d8820632-1e97-4dce-9da7-973eb67b0ee1.jpg?v=1744527324, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/asset_CHAIN-005-B_42.jpg?v=1769947106","beach wears, office, party",summers,"Gold, Red",Millennials (25-40),Generic brand story.
7957330723073,Cuban Chain | 3 MM,cuban-chain-18k-gold-tone-plated-35228,PALMONAS,Men's Chains,"15%, @1899, B1G1_Festive_190925, B2G1, BDAY3, BEST SELLER, BESTL90D_181024, BFCM_B1G1_171125, Bold_031024, Buy1Get1, Christmas, Colour_ Gold, CRED1000, Diwali_2025, Excluded_Summer_cool, FESTIVE_190925, Festive_2025, FLAT50_100126, Hide, HOLI, INFLUENCER220125, Men's Chain, Men's_Collection, MENS CHAIN_NECKLACES, Metal_Stainless Steel, MIN40_070126, NOFLAT200_070126, non-goodbye_120924, office wear, Party wear, Plating_18k Gold Plated, POS150325, POS_040325, R_him, RakhiGifts120725, RM_B1G1_271225, RMPOS040125, SHARK, show, Valentine_2025, Wintercollection, ZL",45906863948033,Gold / L-70 cm x W-3 mm,CHAIN-005-B,1993.00,2847.00,True,Gold,L-70 cm x W-3 mm,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN-005-B_1.jpg?v=1744527324, https://cdn.shopify.com/s/files/1/0613/1400/7297/products/2_d8820632-1e97-4dce-9da7-973eb67b0ee1.jpg?v=1744527324, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/asset_CHAIN-005-B_42.jpg?v=1769947106","beach wears, office, party",summers,"Gold, Red",Millennials (25-40),Generic brand story.
8179582959873,Midnight Prism Necklace- Gold,midnight-prism-pendant-gold-97050,PALMONAS,Men's Chains,"14.02.2024, @ 1999, @1899, BDAY3, Buy1Get1, Excluded_Summer_cool, FEB, FLAT200_070126, FLAT50_100126, Flat999_251024, FridayDrop_Modern_Essentials, goodbye_230824, Hide, HOLI, INFLUENCER220125, Men's Chain, Men's_Collection, Metal_Stainless Steel, MIN40_070126, Necklace and Chains, non-goodbye_120924, Pendant Necklace, POS020225, POS020525, POS120525, POS150325, POS280125, POS_040325, RakhiGifts120725, RMPOS040125, show, Valentine_2025",44456582283521,Default Title,CHAIN029,2754.00,3934.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0613/1400/7297/files/CHAIN029.jpg?v=1744524817, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/18_fa9e6f44-cc72-4568-825f-6a492bcf735d.jpg?v=1744524817, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/asset_CHAIN029_50.jpg?v=1769947204, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/19_6f18e533-7959-42c7-ab60-320a1a4cc178.jpg?v=1769947204, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/17_c9b9467b-d0c0-4ba4-a06f-1c80a3e435a0.jpg?v=1769947204, https://cdn.shopify.com/s/files/1/0613/1400/7297/files/16_f60f6ade-bfb9-4f4e-be11-ae07bac3620d.jpg?v=1769947204",daily,summers,Gold,Adults (18-45),Generic brand story.
