product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
9092596334845,Field Cap - Third Law,third-law-field-cap,TEGO,Headwear,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",47029014593789,BLACK,TS0686-0,899.00,899.00,False,BLACK,,,"https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard_7_2.png?v=1767174193, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard_8.png?v=1767174193",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9092559995133,CORE Shorts - Third Law,third-law-core-7-shorts,TEGO,Shorts,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",47028962263293,BLACK / S,TS0556-1,1599.00,1599.00,True,BLACK,S,,"https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard3.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard4_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard5_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard6_1.png?v=1766748346",beach wears,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9092559995133,CORE Shorts - Third Law,third-law-core-7-shorts,TEGO,Shorts,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",47028962296061,BLACK / M,TS0556-2,1599.00,1599.00,True,BLACK,M,,"https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard3.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard4_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard5_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard6_1.png?v=1766748346",beach wears,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9092559995133,CORE Shorts - Third Law,third-law-core-7-shorts,TEGO,Shorts,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",47028962328829,BLACK / L,TS0556-3,1599.00,1599.00,True,BLACK,L,,"https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard3.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard4_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard5_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard6_1.png?v=1766748346",beach wears,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9092559995133,CORE Shorts - Third Law,third-law-core-7-shorts,TEGO,Shorts,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",47028962361597,BLACK / XL,TS0556-4,1599.00,1599.00,True,BLACK,XL,,"https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard3.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard4_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard5_2.png?v=1766748346, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard6_1.png?v=1766748346",beach wears,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9092545347837,Pacer Shorts (Lined) - Third Law,third-law-pacer-shorts-lined,TEGO,Shorts,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",47028935950589,Black / M,TS0557-2,2299.00,2299.00,True,Black,M,,"https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard1.png?v=1766747624, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard_2_1.png?v=1767005952",beach wears,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9092545347837,Pacer Shorts (Lined) - Third Law,third-law-pacer-shorts-lined,TEGO,Shorts,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",47028935983357,Black / L,TS0557-3,2299.00,2299.00,True,Black,L,,"https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard1.png?v=1766747624, https://cdn.shopify.com/s/files/1/2071/5053/files/Artboard_2_1.png?v=1767005952",beach wears,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983924318461,SKY / XS,TS0500-0,1359.00,1699.00,True,SKY,XS,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983924351229,SKY / S,TS0500-1,1359.00,1699.00,True,SKY,S,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983924383997,SKY / M,TS0500-2,1359.00,1699.00,True,SKY,M,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983924416765,SKY / L,TS0500-3,1359.00,1699.00,True,SKY,L,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983924449533,SKY / XL,TS0500-4,1359.00,1699.00,True,SKY,XL,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983924482301,SKY / XXL,TS0500-5,1359.00,1699.00,True,SKY,XXL,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907606781,BEIGE / XS,TS0499-0,1359.00,1699.00,True,BEIGE,XS,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907639549,BEIGE / S,TS0499-1,1359.00,1699.00,True,BEIGE,S,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907672317,BEIGE / M,TS0499-2,1359.00,1699.00,True,BEIGE,M,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907705085,BEIGE / L,TS0499-3,1359.00,1699.00,True,BEIGE,L,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907737853,BEIGE / XL,TS0499-4,1359.00,1699.00,True,BEIGE,XL,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907770621,BEIGE / XXL,TS0499-5,1359.00,1699.00,True,BEIGE,XXL,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907410173,BLACK / XS,TS0498-0,1359.00,1699.00,True,BLACK,XS,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
9082111623421,ROAM PANT,roam-pant,TEGO,Women Bottom,"spo-cs-disabled, spo-default, spo-disabled, spo-notify-me-disabled",46983907442941,BLACK / S,TS0498-1,1359.00,1699.00,True,BLACK,S,,"https://cdn.shopify.com/s/files/1/2071/5053/files/1_36.jpg?v=1766745726, https://cdn.shopify.com/s/files/1/2071/5053/files/2_27.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_26.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_38.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_28.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/1_39.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/2_29.jpg?v=1766745926, https://cdn.shopify.com/s/files/1/2071/5053/files/3_27.jpg?v=1766745926",daily,summers,Multicolor,Adults (18-45),TEGO is a premium activewear brand that creates purpose-driven gear for athletes using performance materials and emerging technologies.
