product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
10220055232793,Concept Jacket 001,concept-jacket-001,Urban Monkey®,Jackets,"100% Cotton, 18%, clothing, color_multicolor, Concept jacket, drop shoulder jacket, full sleeve jacket, jacket for men, jacket for women, jackets, Multi colour, new stuff, new-arrival-badge, outerwear, product_not_on_sale, relaxed fit jacket, Tops, unisex jacket",51777726906649,S,25JKLF34_MC_S,3850.00,,True,S,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_model_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_04.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_02.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/3_f9d9bf6d-cdea-4088-ba2a-05aa4214cc93.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_07.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_03.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/2_6f7ca4dc-8072-4d89-9f4f-59ff5c44d639.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_close_up.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/4_5b43303a-0fb4-494c-9e9d-ff0ac057cc09.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_10.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_08.jpg?v=1768897428",daily,"summers, winters",Multicolor,Adults (18-45),Generic brand story.
10220055232793,Concept Jacket 001,concept-jacket-001,Urban Monkey®,Jackets,"100% Cotton, 18%, clothing, color_multicolor, Concept jacket, drop shoulder jacket, full sleeve jacket, jacket for men, jacket for women, jackets, Multi colour, new stuff, new-arrival-badge, outerwear, product_not_on_sale, relaxed fit jacket, Tops, unisex jacket",51777726939417,M,25JKLF34_MC_M,3850.00,,True,M,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_model_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_04.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_02.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/3_f9d9bf6d-cdea-4088-ba2a-05aa4214cc93.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_07.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_03.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/2_6f7ca4dc-8072-4d89-9f4f-59ff5c44d639.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_close_up.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/4_5b43303a-0fb4-494c-9e9d-ff0ac057cc09.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_10.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_08.jpg?v=1768897428",daily,"summers, winters",Multicolor,Adults (18-45),Generic brand story.
10220055232793,Concept Jacket 001,concept-jacket-001,Urban Monkey®,Jackets,"100% Cotton, 18%, clothing, color_multicolor, Concept jacket, drop shoulder jacket, full sleeve jacket, jacket for men, jacket for women, jackets, Multi colour, new stuff, new-arrival-badge, outerwear, product_not_on_sale, relaxed fit jacket, Tops, unisex jacket",51777726972185,L,25JKLF34_MC_L,3850.00,,True,L,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_model_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_04.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_02.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/3_f9d9bf6d-cdea-4088-ba2a-05aa4214cc93.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_07.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_03.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/2_6f7ca4dc-8072-4d89-9f4f-59ff5c44d639.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_close_up.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/4_5b43303a-0fb4-494c-9e9d-ff0ac057cc09.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_10.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_08.jpg?v=1768897428",daily,"summers, winters",Multicolor,Adults (18-45),Generic brand story.
10220055232793,Concept Jacket 001,concept-jacket-001,Urban Monkey®,Jackets,"100% Cotton, 18%, clothing, color_multicolor, Concept jacket, drop shoulder jacket, full sleeve jacket, jacket for men, jacket for women, jackets, Multi colour, new stuff, new-arrival-badge, outerwear, product_not_on_sale, relaxed fit jacket, Tops, unisex jacket",51777727004953,XL,25JKLF34_MC_XL,3850.00,,True,XL,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_model_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_04.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_02.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/3_f9d9bf6d-cdea-4088-ba2a-05aa4214cc93.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_07.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_03.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/2_6f7ca4dc-8072-4d89-9f4f-59ff5c44d639.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_close_up.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/4_5b43303a-0fb4-494c-9e9d-ff0ac057cc09.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_10.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_08.jpg?v=1768897428",daily,"summers, winters",Multicolor,Adults (18-45),Generic brand story.
10220055232793,Concept Jacket 001,concept-jacket-001,Urban Monkey®,Jackets,"100% Cotton, 18%, clothing, color_multicolor, Concept jacket, drop shoulder jacket, full sleeve jacket, jacket for men, jacket for women, jackets, Multi colour, new stuff, new-arrival-badge, outerwear, product_not_on_sale, relaxed fit jacket, Tops, unisex jacket",51777727037721,2XL,25JKLF34_MC_2XL,3850.00,,True,2XL,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_model_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_01.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_04.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_02.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/3_f9d9bf6d-cdea-4088-ba2a-05aa4214cc93.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_07.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_03.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/2_6f7ca4dc-8072-4d89-9f4f-59ff5c44d639.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/conceot_jacket_close_up.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/4_5b43303a-0fb4-494c-9e9d-ff0ac057cc09.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_10.jpg?v=1768897428, https://cdn.shopify.com/s/files/1/0661/7423/files/Concept_Jacket_08.jpg?v=1768897428",daily,"summers, winters",Multicolor,Adults (18-45),Generic brand story.
10111060082969,Sling 2.0 // Black,sling-2-black,Urban Monkey®,Slingbags,"18%, accessories, black collection, black sling, black sling bag, crossbody sling bag, ghost_drop, medium sling bag, new stuff, new-arrival-badge, premium side bag, product_not_on_sale, show_shop_now_productCard, side bag, Sling Bag, sling bag with pouch, travel side bag, UM_CORE, unisex sling bag, urban monkey sling bag",51417079808281,Default Title,25SB_PP_BK09,2000.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_03.jpg?v=1767940021, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_06.jpg?v=1767940021, https://cdn.shopify.com/s/files/1/0661/7423/files/1_9dee8fb7-01d8-421c-9996-675ecb589cad.jpg?v=1768447028, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_13.jpg?v=1768447028, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_12.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_09.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_010.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_07.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/2_e91c0ee4-1555-48b1-8331-38252f2450d9.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_05.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_14.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_04.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_01.jpg?v=1768473321, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_black_02.jpg?v=1768473321",daily,summers,Black,Adults (18-45),Generic brand story.
10111060476185,Sling 2.0 // Off-White,sling-2-off-white,Urban Monkey®,Slingbags,"18%, accessories, black sling, color_off-white, crossbody sling bag, ghost_drop, medium sling bag, new stuff, new-arrival-badge, off white, offwhite, premium side bag, product_not_on_sale, show_shop_now_productCard, side bag, Sling Bag, sling bag with pouch, travel side bag, UM_CORE, unisex sling bag, urban monkey sling bag",51417080332569,Default Title,25SB_PP_OW10,2000.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_03.jpg?v=1767940049, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_01.jpg?v=1767940049, https://cdn.shopify.com/s/files/1/0661/7423/files/3_b3086719-7070-4b42-b8a9-40265d122ef4.jpg?v=1768447030, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_02.jpg?v=1768447030, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_13.jpg?v=1768447030, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_12.jpg?v=1768473336, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_09.jpg?v=1768473336, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_10.jpg?v=1768473336, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_04.jpg?v=1768473336, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_14.jpg?v=1768473336, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_05.jpg?v=1768473336, https://cdn.shopify.com/s/files/1/0661/7423/files/hardcase_suitcase_sling_bag_white_07.jpg?v=1768473336",daily,summers,"Black, Off White, White",Adults (18-45),Generic brand story.
8086683386137,m00n,m00n-1,Urban Monkey,Watch,"18%, accessories, best watch, digital watch, loop, loop watch, m00n, moon watch, new stuff, product_not_on_sale, showWaitList, um watch, urban monkey watch, watch, watch for men, watch for women, watches, Water Resistant, white & pink watch, workflowloop, wrist watch",51915321868569,601 TO 1500 SOLD OUT,,5999.00,0.00,False,601 TO 1500 SOLD OUT,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-733165.jpg?v=1741752293, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-m00n-655397.png?v=1741764346, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-586717.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-803865.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-713636.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-m00n-280980.png?v=1741764346, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-599909.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-565749.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-562858.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-436836.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-494786.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-597987.jpg?v=1741752609",daily,summers,"Pink, Tan, White",Adults (18-45),Generic brand story.
8086683386137,m00n,m00n-1,Urban Monkey,Watch,"18%, accessories, best watch, digital watch, loop, loop watch, m00n, moon watch, new stuff, product_not_on_sale, showWaitList, um watch, urban monkey watch, watch, watch for men, watch for women, watches, Water Resistant, white & pink watch, workflowloop, wrist watch",51915350409497,1501,m00n_1501,5999.00,0.00,True,1501,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-733165.jpg?v=1741752293, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-m00n-655397.png?v=1741764346, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-586717.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-803865.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-713636.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-m00n-280980.png?v=1741764346, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-599909.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-565749.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-562858.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-436836.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-494786.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-597987.jpg?v=1741752609",daily,summers,"Pink, Tan, White",Adults (18-45),Generic brand story.
8086683386137,m00n,m00n-1,Urban Monkey,Watch,"18%, accessories, best watch, digital watch, loop, loop watch, m00n, moon watch, new stuff, product_not_on_sale, showWaitList, um watch, urban monkey watch, watch, watch for men, watch for women, watches, Water Resistant, white & pink watch, workflowloop, wrist watch",51915350442265,1502,m00n_1502,5999.00,0.00,False,1502,,,"https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-733165.jpg?v=1741752293, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-m00n-655397.png?v=1741764346, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-586717.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-803865.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-713636.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-m00n-280980.png?v=1741764346, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-599909.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-565749.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-562858.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-436836.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-494786.jpg?v=1741752609, https://cdn.shopify.com/s/files/1/0661/7423/files/m00n-597987.jpg?v=1741752609",daily,summers,"Pink, Tan, White",Adults (18-45),Generic brand story.
